age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,label
41,1,1,2,1,0,0,1,4,3,14,13,999,0,1,1.3979737758636475,94.4637680053711,-41.793338775634766,4.864717483520508,5228.08251953125,0
59,1,1,1,1,0,0,0,3,1,106,10,999,0,1,1.39864981174469,93.91773223876953,-42.70500183105469,4.959656238555908,5227.9189453125,0
43,9,2,5,0,0,0,1,3,4,44,2,999,0,1,1.4,93.91834259033203,-42.70289993286133,4.954931735992432,5227.90478515625,0
39,2,1,2,1,0,0,1,6,2,192,3,999,0,1,1.098188877105713,93.99380493164062,-36.40980911254883,4.856557369232178,5190.880859375,0
31,9,0,6,0,2,0,0,1,0,56,3,999,0,1,1.3988856077194214,93.44412231445312,-36.120853424072266,4.957645416259766,5228.05615234375,0
34,1,2,2,1,2,0,0,0,1,90,2,999,1,0,-1.794740080833435,93.07662200927734,-47.0837287902832,1.4131157398223877,5099.25830078125,0
29,0,2,6,0,2,2,0,7,2,43,4,999,1,0,-0.10112479329109192,93.2010269165039,-41.996612548828125,4.07705545425415,5195.7998046875,0
25,0,1,6,0,0,0,1,6,0,56,1,999,0,1,1.1008135080337524,93.99333190917969,-36.41163635253906,4.862660884857178,5191.04150390625,0
37,1,2,1,1,2,0,1,6,2,288,1,999,0,1,1.0982195138931274,93.99327087402344,-36.40481948852539,4.85233736038208,5190.9580078125,0
43,1,1,0,1,2,0,1,4,4,174,1,999,0,1,1.3968560695648193,94.46475982666016,-41.802940368652344,4.95438814163208,5227.98681640625,0
32,3,1,3,0,2,0,1,6,3,100,1,999,0,1,1.0972977876663208,93.99388122558594,-36.39978790283203,4.853971481323242,5190.9091796875,0
26,8,2,3,0,0,0,0,5,4,236,2,999,0,1,-1.7980934381484985,92.84439086914062,-49.981998443603516,1.6074192523956299,5099.17822265625,0
30,0,1,6,0,2,0,0,1,2,103,1,999,0,1,1.3941829204559326,93.44509887695312,-36.0976448059082,4.963107109069824,5228.1,0
45,7,0,2,0,0,0,0,7,4,137,1,999,0,1,-0.10022257268428802,93.2006607055664,-42.009521484375,4.119863986968994,5195.6572265625,0
59,6,1,5,0,2,0,0,0,1,122,2,999,0,1,-1.79708993434906,93.07537841796875,-47.09267807006836,1.4108004570007324,5099.17236328125,0
33,0,1,6,0,0,0,1,6,4,55,1,999,0,1,1.0983275175094604,93.99490356445312,-36.39625930786133,4.853240489959717,5191.0986328125,0
36,7,1,3,0,0,0,1,6,3,168,2,999,0,1,1.1005866527557373,93.99530792236328,-36.424591064453125,4.858389377593994,5190.951171875,0
53,1,1,1,0,0,0,0,3,4,86,1,999,0,1,1.3991833925247192,93.91825103759766,-42.700599670410156,4.963968753814697,5228.0322265625,0
52,4,0,6,0,0,0,1,4,4,208,4,999,0,1,1.396111249923706,94.46471405029297,-41.78944778442383,4.865085601806641,5227.92138671875,0
45,1,1,2,0,2,0,1,3,3,80,1,999,0,1,1.4,93.91631317138672,-42.69855880737305,4.9529218673706055,5227.94775390625,0
31,9,2,5,0,2,0,0,1,2,302,3,999,0,1,1.3947807550430298,93.44497680664062,-36.11338424682617,4.9610466957092285,5227.9736328125,0
39,7,1,3,1,2,0,0,3,4,670,4,999,0,1,1.3984780311584473,93.9175796508789,-42.70499038696289,4.9593586921691895,5227.890625,0
44,11,1,1,0,0,0,0,3,3,199,2,999,0,1,1.3947367668151855,93.91754150390625,-42.693511962890625,4.961436748504639,5227.95166015625,0
26,8,2,2,0,0,0,1,1,4,127,1,999,0,1,-2.8922643661499023,92.20319366455078,-31.41900634765625,0.8859298825263977,5076.27783203125,0
50,10,1,5,1,2,2,0,3,2,224,1,999,0,1,1.3966103792190552,93.91572570800781,-42.70297622680664,4.962047100067139,5227.81689453125,0
40,1,0,2,0,0,0,1,4,2,575,1,999,0,1,1.3970304727554321,94.46336364746094,-41.78504180908203,4.957354545593262,5228.05126953125,0
29,0,2,6,0,2,2,1,4,4,252,2,999,0,1,-2.8961122035980225,92.96353149414062,-40.806732177734375,1.264599084854126,5076.29345703125,0
31,1,1,2,0,0,0,1,6,0,232,3,999,0,1,1.0965726375579834,93.99258422851562,-36.41017150878906,4.86566686630249,5191.0087890625,0
31,10,2,3,0,0,0,0,6,0,10,2,999,0,1,-1.7966564893722534,92.894287109375,-46.1842155456543,1.2506346702575684,5099.27734375,0
34,1,1,3,0,2,0,1,4,4,41,2,999,0,1,1.3987231254577637,94.46295166015625,-41.7996940612793,4.958978652954102,5227.96044921875,0
28,0,1,5,0,0,0,0,3,0,548,2,999,0,1,1.3984557390213013,93.91700744628906,-42.69692611694336,4.959500312805176,5228.01318359375,0
29,9,1,5,0,2,2,0,3,3,82,1,999,0,1,1.3985482454299927,93.9178237915039,-42.6969108581543,4.959688663482666,5227.958984375,0
50,6,1,0,1,1,1,1,6,4,154,3,999,0,1,1.098961591720581,93.99272155761719,-36.40903091430664,4.8524088859558105,5191.0068359375,0
32,1,0,5,0,2,0,0,3,0,122,2,999,0,1,1.4,93.917236328125,-42.69243240356445,4.965333461761475,5227.86181640625,0
54,0,1,6,1,2,0,0,3,2,77,5,999,0,1,1.4,93.91732025146484,-42.69313049316406,4.966041088104248,5227.970703125,0
40,9,2,2,1,2,2,0,7,1,180,1,999,0,1,-0.09679153561592102,93.2009506225586,-41.98984146118164,4.187280654907227,5195.97021484375,0
46,4,1,3,1,2,0,0,3,2,58,1,999,0,1,1.3926899433135986,93.9179458618164,-42.6919059753418,4.9599928855896,5228.1,0
27,1,1,2,0,1,1,1,6,3,169,2,999,0,1,1.0988818407058716,93.9935073852539,-36.40476608276367,4.858415126800537,5190.84716796875,0
43,9,1,5,0,0,0,1,6,3,181,1,999,0,1,1.100489616394043,93.99330139160156,-36.40721893310547,4.851558208465576,5190.99853515625,0
42,3,0,0,1,0,0,0,3,1,461,2,998,0,1,1.3979229927062988,93.91796112060547,-42.694580078125,4.959841728210449,5227.9892578125,0
52,5,1,0,1,0,0,0,0,2,204,1,999,1,0,-1.7980009317398071,93.07364654541016,-47.10097122192383,1.4107308387756348,5099.1279296875,0
44,6,1,6,0,0,0,0,1,2,242,4,999,0,1,1.3957115411758423,93.44390106201172,-36.10383605957031,4.967606544494629,5227.87841796875,0
34,7,1,3,0,0,0,0,6,4,251,2,999,0,1,-1.7953132390975952,92.89701080322266,-46.17349624633789,1.284675121307373,5099.2587890625,0
45,4,1,6,0,2,0,0,1,4,88,2,999,0,1,1.3986999988555908,93.44363403320312,-36.108070373535156,4.967306613922119,5227.97021484375,0
33,0,1,3,0,0,0,1,4,4,914,1,999,0,1,1.3975099325180054,94.46371459960938,-41.78935241699219,4.9574151039123535,5227.8916015625,0
35,9,1,6,0,0,0,0,1,3,241,4,999,0,1,1.4,93.44580078125,-36.11125946044922,4.963205814361572,5228.02978515625,0
33,9,1,5,0,0,0,1,6,1,613,2,999,0,1,1.0995399951934814,93.9935302734375,-36.41216278076172,4.855006217956543,5190.96630859375,0
30,9,1,5,0,2,0,1,6,4,266,1,999,0,1,1.101264238357544,93.99298858642578,-36.40736770629883,4.851926803588867,5191.2265625,0
46,1,1,2,0,2,2,1,6,0,128,3,999,0,1,1.0996170043945312,93.99319458007812,-36.40125274658203,4.858944416046143,5191.005859375,0
29,6,2,6,0,0,0,0,7,2,88,1,998,0,1,-0.09814970195293427,93.19922637939453,-41.99567413330078,4.068639755249023,5195.63037109375,0
36,0,1,5,0,2,0,0,1,1,471,7,998,0,1,1.3964670896530151,93.44417572021484,-36.11573028564453,4.959316730499268,5228.072265625,0
39,7,1,7,1,0,0,1,6,3,191,1,999,0,1,1.099997639656067,93.99348449707031,-36.40564727783203,4.855611801147461,5191.0576171875,0
32,2,2,5,0,0,0,1,4,1,20,20,999,0,1,1.3971670866012573,94.46428680419922,-41.799259185791016,4.860445022583008,5227.91748046875,0
35,1,2,5,0,2,0,0,5,3,81,1,999,0,1,-1.7963000535964966,92.84441375732422,-49.979515075683594,1.5685579776763916,5099.16162109375,0
53,1,1,2,0,2,0,0,3,3,56,3,999,0,1,1.3962210416793823,93.91641235351562,-42.69392013549805,4.961767196655273,5228.1,0
41,0,2,3,0,0,0,0,8,2,786,2,999,0,1,-1.0961753129959106,94.60055541992188,-49.48696517944336,0.9875755906105042,4963.75537109375,0
45,1,1,7,0,2,2,0,0,2,613,1,999,1,0,-1.7964162826538086,93.075927734375,-47.08758544921875,1.4121060371398926,5099.10009765625,0
32,0,2,6,0,2,0,0,1,0,124,1,999,0,1,1.3982963562011719,93.4439697265625,-36.110801696777344,4.963199615478516,5227.87109375,0
36,1,2,5,1,0,0,0,0,1,36,2,999,1,0,-1.7956229448318481,93.07672119140625,-47.07445526123047,1.4080007076263428,5099.166015625,0
45,0,1,3,0,2,2,1,4,1,523,1,999,0,1,1.3951901197433472,94.4632339477539,-41.79503631591797,4.963868618011475,5228.1,0
27,8,2,7,0,2,0,0,0,2,176,1,999,1,0,-1.7964749336242676,93.74964904785156,-34.602725982666016,0.6429169774055481,5008.970703125,0
34,1,1,7,0,2,0,1,3,2,16,25,999,0,1,1.3977073431015015,93.91606140136719,-42.69854736328125,4.965179443359375,5227.99560546875,0
29,2,1,6,0,2,0,0,3,3,305,2,999,0,1,1.4,93.91668701171875,-42.702491760253906,4.958316326141357,5228.0224609375,0
41,9,2,3,0,2,0,0,1,4,219,3,999,0,1,1.3988972902297974,93.44438171386719,-36.11429214477539,4.957052707672119,5227.98193359375,0
44,2,1,6,0,2,2,0,7,2,97,1,999,0,1,-0.09824348986148834,93.2021713256836,-42.010955810546875,4.074284553527832,5195.77783203125,0
37,0,1,3,0,0,0,1,6,3,315,2,999,0,1,1.0981428623199463,93.99225616455078,-36.39279556274414,4.853626728057861,5190.978515625,0
31,6,2,3,0,2,0,0,6,0,187,2,999,1,0,-1.796641230583191,92.89347076416016,-46.19129943847656,1.3160662651062012,5099.3173828125,0
49,7,1,0,0,0,0,0,7,2,106,2,999,1,0,-0.09965042769908905,93.20062255859375,-41.99998092651367,4.073004245758057,5195.87255859375,0
49,0,1,3,1,0,0,1,6,2,157,5,999,0,1,1.0969351530075073,93.99275207519531,-36.4131965637207,4.859824180603027,5191.1396484375,0
25,9,1,5,0,0,0,0,3,2,71,3,999,0,1,1.3973820209503174,93.91856384277344,-42.69527816772461,4.960205554962158,5228.1,0
43,2,1,2,1,2,0,1,6,0,536,2,999,0,1,1.098352313041687,93.99195861816406,-36.40134811401367,4.85811710357666,5190.8818359375,0
34,0,1,6,0,2,0,1,6,2,419,2,999,0,1,1.0958251953125,93.99384307861328,-36.40906524658203,4.860565662384033,5191.2099609375,0
34,9,2,2,0,0,0,0,1,1,200,2,999,0,1,-1.6922764778137207,94.02568817138672,-38.30034637451172,0.8938420414924622,4991.85693359375,0
45,9,1,5,0,2,2,0,6,2,701,1,999,0,1,-1.7970046997070312,92.89349365234375,-46.19522476196289,1.3300738334655762,5099.23046875,0
29,0,1,3,0,2,0,0,3,1,126,3,999,0,1,1.398961067199707,93.91839599609375,-42.69000244140625,4.963881492614746,5228.0615234375,0
43,10,1,0,0,0,0,1,6,2,92,1,999,0,1,1.1012028455734253,93.99408721923828,-36.403663635253906,4.851434707641602,5191.08203125,0
40,1,1,1,1,0,0,0,7,4,104,3,998,0,1,-0.09804782271385193,93.20010375976562,-42.00693130493164,4.118760585784912,5195.9521484375,0
52,0,0,3,0,2,0,1,6,1,54,2,999,1,0,-1.7978688478469849,92.89273834228516,-46.1999397277832,1.2460777759552002,5099.19287109375,0
34,9,0,5,0,2,0,0,1,3,104,3,999,0,1,1.3974920511245728,93.4446792602539,-36.10445785522461,4.961717128753662,5227.9462890625,0
43,4,1,1,0,0,0,0,0,4,121,1,999,1,0,-1.800840139389038,93.07673645019531,-47.089481353759766,1.4173862934112549,5099.1865234375,0
40,0,1,3,0,2,0,0,7,4,569,1,999,0,1,-0.10064946115016937,93.20046997070312,-41.98316192626953,4.120256423950195,5195.81884765625,0
54,5,1,0,1,2,0,0,1,4,175,5,999,0,1,1.3986461162567139,93.44364166259766,-36.112396240234375,4.962789058685303,5227.8857421875,0
24,1,1,2,0,0,2,1,4,2,167,1,999,0,1,1.396965742111206,94.46231079101562,-41.78376388549805,4.956068515777588,5228.05908203125,0
39,3,1,0,0,2,2,0,1,0,215,1,999,0,1,1.4,93.44413757324219,-36.105987548828125,4.962316036224365,5227.87939453125,0
46,2,0,2,0,2,0,0,7,2,201,4,999,0,1,-0.09857609868049622,93.20073699951172,-42.00040817260742,4.074757099151611,5195.90087890625,0
41,9,0,6,0,2,0,0,1,2,96,1,999,0,1,1.3989146947860718,93.44425201416016,-36.112159729003906,4.966670513153076,5228.001953125,0
63,1,1,0,0,2,2,0,1,0,107,3,999,0,1,-2.888854503631592,92.20272827148438,-31.399595260620117,0.871207058429718,5076.1943359375,0
50,7,1,6,1,0,0,0,6,3,116,1,999,0,1,-1.7956408262252808,92.89525604248047,-46.1800651550293,1.2932929992675781,5099.1953125,0
52,7,1,5,1,2,2,0,1,1,83,3,999,0,1,1.396323561668396,93.44444274902344,-36.10025405883789,4.962945938110352,5228.08349609375,0
56,0,1,6,0,2,0,0,1,4,470,5,999,0,1,1.3972535133361816,93.44586944580078,-36.116119384765625,4.959116458892822,5227.94970703125,0
49,7,1,3,1,0,0,1,6,3,295,3,999,0,1,1.0975488424301147,93.99359130859375,-36.41084289550781,4.853400707244873,5191.08837890625,0
34,1,1,1,0,2,0,0,3,1,320,1,999,0,1,1.4,93.91716003417969,-42.710411071777344,4.9604878425598145,5227.791015625,0
30,2,2,3,0,2,0,0,3,3,85,5,999,0,1,1.3971697092056274,93.91650390625,-42.67915725708008,4.960672855377197,5228.1,0
51,9,1,5,0,2,0,1,1,0,115,2,999,0,1,-2.894500732421875,92.2032241821289,-31.428543090820312,0.8846819996833801,5076.298828125,0
28,7,1,3,0,2,0,1,6,0,79,1,999,0,1,1.09767484664917,93.99259948730469,-36.40409851074219,4.853143215179443,5191.02392578125,0
33,9,1,5,0,2,0,1,1,0,59,1,999,0,1,1.395775318145752,93.44556427001953,-36.11553955078125,4.965273380279541,5228.1,0
36,10,2,0,1,2,0,1,6,3,267,1,999,0,1,1.1012358665466309,93.99362182617188,-36.39657211303711,4.854324817657471,5190.767578125,0
49,1,1,1,1,2,0,1,4,4,81,3,999,0,1,1.395524501800537,94.46548461914062,-41.80236053466797,4.958312034606934,5228.095703125,0
45,3,0,0,1,2,0,0,3,0,183,2,999,0,1,1.3987466096878052,93.91813659667969,-42.70107650756836,4.95171594619751,5228.1,0
33,0,1,6,0,2,0,0,6,0,180,1,999,0,1,-1.795560359954834,92.89359283447266,-46.20035934448242,1.2512269020080566,5099.1357421875,0
50,1,1,0,1,2,0,0,1,0,81,1,999,0,1,1.4,93.4446792602539,-36.10093307495117,4.96258020401001,5227.86865234375,0
56,7,0,3,1,2,0,0,3,1,247,2,999,0,1,1.4,93.91806030273438,-42.69874954223633,4.957974910736084,5228.1,0
59,5,1,3,0,0,0,0,1,4,292,2,999,0,1,1.3998301029205322,93.444091796875,-36.11998748779297,4.961729526519775,5227.95703125,0
42,9,1,1,0,0,0,0,7,3,166,2,999,1,0,-0.10101263225078583,93.20086669921875,-41.98982620239258,4.14850378036499,5195.7158203125,0
42,4,1,7,1,0,0,1,6,3,204,3,999,0,1,1.0995533466339111,93.9946060180664,-36.41437530517578,4.859636306762695,5191.14892578125,0
40,9,1,5,0,0,0,0,1,0,168,1,999,0,1,1.3970866203308105,93.44359588623047,-36.10539245605469,4.959266662597656,5227.85986328125,0
49,0,1,6,0,2,0,0,1,3,62,2,999,0,1,1.3984715938568115,93.4452896118164,-36.11664962768555,4.967856407165527,5227.97900390625,0
55,1,0,0,1,0,2,1,4,3,115,3,999,0,1,1.3985977172851562,94.46260833740234,-41.794700622558594,4.860630989074707,5228.1,0
33,0,1,2,0,2,2,1,6,4,26,1,999,0,1,-1.7970627546310425,92.89519500732422,-46.19744110107422,1.33671236038208,5099.09814453125,0
58,0,0,6,1,0,2,0,1,1,75,2,999,0,1,1.3984684944152832,93.44444274902344,-36.100616455078125,4.965075969696045,5228.1,0
24,8,2,3,1,0,0,0,3,3,198,1,999,0,1,1.3953689336776733,93.9173355102539,-42.70808029174805,4.96168327331543,5228.1,0
33,7,1,3,0,0,0,1,6,3,322,2,999,0,1,1.1020535230636597,93.99462127685547,-36.405616760253906,4.8584747314453125,5190.8896484375,0
40,9,2,3,0,0,0,1,6,3,151,4,999,0,1,1.101199746131897,93.9950942993164,-36.40848159790039,4.85772180557251,5191.046875,0
46,0,1,6,0,2,2,1,6,0,374,2,999,0,1,1.0971715450286865,93.9933853149414,-36.3906364440918,4.8561296463012695,5191.02099609375,0
32,4,1,6,0,0,0,0,1,4,499,1,999,0,1,1.3960587978363037,93.44217681884766,-36.09967803955078,4.95829439163208,5228.09375,0
33,9,1,5,0,2,0,0,1,1,170,1,999,0,1,1.3930330276489258,93.44343566894531,-36.11347579956055,4.9644646644592285,5228.01806640625,0
31,7,1,2,0,2,0,1,4,1,277,1,999,0,1,-2.8971338272094727,92.96495056152344,-40.79542922973633,1.2691714763641357,5076.548828125,0
54,0,1,6,0,0,0,0,5,1,48,2,999,0,1,-1.7962820529937744,92.84561920166016,-49.98501968383789,1.566779613494873,5099.46435546875,0
41,1,1,7,0,0,0,1,4,1,423,2,999,0,1,1.4,94.46334075927734,-41.78440475463867,4.865318775177002,5228.1,0
34,7,2,3,0,0,2,0,4,3,92,1,999,0,1,-2.893709659576416,92.96466827392578,-40.79024887084961,1.2666211128234863,5076.36474609375,0
27,1,2,1,1,2,0,0,6,2,10,1,999,0,1,-1.7934149503707886,92.89495849609375,-46.192527770996094,1.2705755233764648,5099.1552734375,0
28,9,2,3,0,0,0,0,3,1,568,8,999,0,1,1.394682765007019,93.91584014892578,-42.70024490356445,4.95809268951416,5227.91162109375,0
30,1,2,2,0,2,0,0,6,2,340,3,999,1,0,-1.7973421812057495,92.89173126220703,-46.183372497558594,1.2674968242645264,5099.2705078125,0
53,2,2,2,0,0,0,1,6,4,345,1,999,0,1,1.0999103784561157,93.994140625,-36.414920806884766,4.855338096618652,5190.984375,0
32,0,1,6,0,2,0,0,6,2,62,6,999,1,0,-1.7933635711669922,92.89453125,-46.190677642822266,1.3266916275024414,5099.1396484375,0
41,4,1,3,0,2,0,0,6,1,180,2,999,0,1,-1.7954132556915283,92.89349365234375,-46.18849563598633,1.2446966171264648,5099.2646484375,0
51,0,0,6,0,2,0,0,3,1,437,2,999,0,1,1.3956390619277954,93.91615295410156,-42.69674301147461,4.961421489715576,5227.78564453125,0
34,1,1,0,0,0,0,0,3,4,384,1,999,0,1,1.3997423648834229,93.91785430908203,-42.693580627441406,4.962526321411133,5227.95947265625,0
43,6,1,6,1,2,2,0,1,1,128,3,999,0,1,1.3971515893936157,93.44300079345703,-36.1030387878418,4.960135459899902,5228.1,0
38,9,1,3,0,2,0,0,1,3,237,1,999,0,1,1.3987987041473389,93.44452667236328,-36.10793685913086,4.969797134399414,5228.01123046875,0
32,1,2,2,1,0,0,0,3,0,166,1,999,0,1,1.3937132358551025,93.91832733154297,-42.701602935791016,4.956121444702148,5227.9951171875,0
46,2,0,6,0,0,0,1,6,2,127,1,999,0,1,1.0954803228378296,93.99370574951172,-36.4041633605957,4.859850883483887,5190.95556640625,0
36,9,1,6,0,2,2,0,6,1,101,1,999,0,1,-1.7992416620254517,92.89408874511719,-46.201080322265625,1.268782615661621,5099.3779296875,0
36,4,1,6,0,2,2,0,3,2,90,2,999,0,1,1.3980764150619507,93.91845703125,-42.695701599121094,4.96239709854126,5228.0458984375,0
34,7,1,3,0,0,0,0,7,4,89,3,999,1,0,-0.1013093888759613,93.20116424560547,-41.99633026123047,4.113517761230469,5195.92724609375,0
36,9,0,5,0,0,0,1,6,4,446,1,999,0,1,1.0948315858840942,93.99143981933594,-36.413509368896484,4.857553958892822,5190.97607421875,0
43,1,1,2,0,2,0,0,7,4,239,1,999,0,1,-0.10079948604106903,93.20038604736328,-42.016510009765625,4.1151018142700195,5195.80615234375,0
48,1,1,2,0,2,0,0,1,1,10,6,999,0,1,1.3933169841766357,93.44380187988281,-36.11000061035156,4.963167667388916,5227.82373046875,0
46,3,1,0,0,0,2,1,6,3,149,1,999,0,1,1.0976263284683228,93.99415588378906,-36.406917572021484,4.860110759735107,5190.8984375,0
28,4,2,6,0,2,0,0,6,3,193,2,999,0,1,-1.8000903129577637,92.89522552490234,-46.19191360473633,1.2956500053405762,5099.0380859375,0
31,4,1,3,0,0,0,1,6,4,218,1,999,0,1,1.0990610122680664,93.99312591552734,-36.40556716918945,4.857769966125488,5190.927734375,0
38,1,1,2,0,0,0,0,7,4,1063,1,998,0,1,-0.09835092723369598,93.20244598388672,-42.00057601928711,4.1215643882751465,5195.96826171875,0
27,10,2,3,0,0,0,0,1,4,93,1,6,3,2,-2.8942182064056396,92.2026138305664,-31.416606903076172,0.8898161053657532,5076.29833984375,0
46,1,1,5,1,0,2,1,6,3,346,2,999,0,1,1.09930419921875,93.9927978515625,-36.40544509887695,4.8531975746154785,5190.9951171875,0
34,9,2,5,0,2,0,0,6,2,277,2,999,0,1,-1.7984848022460938,92.89273071289062,-46.19622802734375,1.268179178237915,5099.216796875,0
31,0,2,6,0,2,0,0,1,1,163,1,999,0,1,1.3992093801498413,93.44505310058594,-36.117427825927734,4.968352794647217,5227.96630859375,0
58,2,0,6,0,0,0,1,4,2,40,2,999,0,1,1.399788737297058,94.46509552001953,-41.78366470336914,4.866137981414795,5228.1,0
55,6,1,2,0,2,0,0,6,3,603,1,999,0,1,-1.7963985204696655,92.89378356933594,-46.18425750732422,1.3443820476531982,5099.25244140625,0
43,1,1,1,1,2,2,1,4,3,193,3,999,0,1,1.3968366384506226,94.46438598632812,-41.79233169555664,4.957314968109131,5228.04931640625,0
46,2,1,0,1,2,0,0,0,1,629,3,999,0,1,-1.7917643785476685,93.0766372680664,-47.0772819519043,1.4078030586242676,5099.38720703125,0
56,4,1,6,0,0,0,1,4,4,155,4,999,0,1,1.4,94.4643783569336,-41.80756759643555,4.96121883392334,5228.1,0
31,9,2,6,0,2,0,1,6,0,14,6,999,1,0,-1.79920494556427,92.89433288574219,-46.197723388671875,1.2484188079833984,5099.03857421875,0
35,0,1,3,0,2,2,1,3,3,158,1,999,0,1,1.3991503715515137,93.91647338867188,-42.694034576416016,4.9519524574279785,5227.93212890625,0
37,1,1,0,0,2,0,1,6,4,191,1,999,0,1,1.0972908735275269,93.99320220947266,-36.41715621948242,4.861761569976807,5191.20654296875,0
46,0,1,3,0,0,0,1,6,0,515,2,999,0,1,1.0996673107147217,93.99439239501953,-36.402889251708984,4.86588716506958,5191.0673828125,0
36,7,2,3,0,2,0,0,6,1,565,2,999,1,0,-1.8047059774398804,92.89400482177734,-46.20606994628906,1.247128963470459,5098.9736328125,0
31,0,1,6,0,2,0,1,4,4,153,6,999,0,1,1.4,94.46471405029297,-41.80001449584961,4.864299297332764,5228.06982421875,0
32,4,2,6,0,2,0,0,5,1,75,2,999,0,1,-1.7961820363998413,92.84342193603516,-49.98939514160156,1.7047748565673828,5099.12060546875,0
46,3,1,3,0,2,0,0,1,0,258,1,999,0,1,-2.894925832748413,92.20219421386719,-31.407028198242188,0.8808379769325256,5076.1708984375,0
40,7,0,3,0,0,0,1,4,1,158,1,999,0,1,1.3989605903625488,94.46280670166016,-41.8016357421875,4.861083984375,5228.1,0
35,4,2,6,0,2,0,0,1,1,151,2,999,0,1,1.3988285064697266,93.44391632080078,-36.100833892822266,4.969793319702148,5227.90478515625,0
29,7,2,3,0,2,0,0,3,4,112,3,999,0,1,1.3993831872940063,93.91813659667969,-42.68263626098633,4.959815502166748,5227.8583984375,0
31,0,1,6,0,2,0,1,7,3,174,3,999,0,1,-0.10093873739242554,93.1998519897461,-42.002498626708984,4.151599407196045,5195.64892578125,0
