f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,label
1,4,1,17,2,4,3,2,3,58,3,1,1,1,1,0,0,1,0,1,0,0,0,1,0
3,24,4,121,1,3,4,2,1,32,3,2,1,1,2,1,0,1,0,0,1,0,0,1,0
4,24,0,22,1,5,1,4,1,36,3,1,2,2,1,1,0,1,0,1,1,0,1,0,1
4,22,4,100,1,2,2,2,3,36,3,1,1,2,1,0,0,1,0,0,0,0,0,0,0
2,20,2,30,1,1,2,2,3,26,3,2,2,2,1,0,0,1,0,0,1,0,1,1,1
4,4,2,103,1,2,1,3,3,49,3,1,1,1,1,1,0,1,0,0,1,0,0,0,1
1,8,3,113,1,1,2,2,1,31,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1
4,13,4,44,1,3,3,2,2,36,2,1,2,2,1,0,0,1,0,1,1,0,0,0,0
1,17,0,22,1,3,3,4,1,35,3,2,1,1,1,1,0,1,0,0,0,0,0,1,0
4,22,4,39,5,2,2,1,2,31,3,1,2,1,1,0,0,1,0,0,1,0,0,1,0
4,4,2,28,1,3,4,4,3,48,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0
4,4,2,32,1,2,4,2,4,66,3,2,1,1,1,1,0,1,0,0,0,0,0,1,0
3,22,3,132,1,2,3,4,1,39,3,1,1,2,1,0,0,1,0,0,0,0,0,1,1
4,4,2,23,1,3,3,4,3,60,1,1,2,2,1,0,0,1,0,1,0,0,0,1,0
1,4,2,13,1,4,2,2,1,23,1,2,1,1,1,0,0,1,0,0,0,0,0,1,1
1,4,4,24,5,3,3,2,1,37,1,1,2,2,1,0,0,1,0,1,1,0,0,1,0
1,20,2,29,1,3,3,4,3,35,3,1,1,1,1,1,0,1,0,1,0,0,0,1,0
2,16,4,66,1,4,3,1,3,47,3,1,1,1,1,0,0,1,0,1,0,0,1,1,0
2,4,4,51,1,4,3,3,2,65,3,1,2,1,1,1,0,1,0,0,1,0,0,1,1
3,4,3,30,1,3,3,1,3,37,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1
1,16,2,19,5,3,2,1,3,37,3,1,1,2,2,0,0,1,0,0,1,0,0,1,0
1,4,2,98,1,5,2,2,3,75,2,1,1,1,1,0,0,1,0,0,0,0,0,1,0
1,9,2,32,5,4,2,4,3,38,3,1,1,1,1,0,0,1,0,0,0,1,0,1,0
1,20,4,22,1,3,2,4,3,31,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
1,10,1,60,5,3,2,4,1,37,3,2,1,1,1,1,0,1,0,0,1,0,0,1,1
2,21,2,43,1,2,2,2,3,47,3,1,1,1,1,1,0,1,0,1,1,0,0,1,1
1,4,2,64,1,5,3,4,2,75,3,2,1,2,1,0,0,1,0,0,1,0,0,1,0
4,4,1,59,1,3,1,2,3,66,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,5,2,26,1,3,4,2,3,39,3,1,2,1,1,0,0,1,0,1,0,0,0,1,0
3,4,2,29,1,3,2,1,4,35,3,1,2,1,1,0,0,1,0,0,0,1,1,1,1
4,38,2,24,5,5,1,1,1,73,3,3,1,1,1,1,0,1,0,1,0,0,0,1,1
3,4,2,32,1,5,2,4,3,42,3,1,1,1,1,0,0,1,0,0,0,0,1,0,0
4,24,2,61,1,3,3,4,2,69,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0
2,4,3,49,1,4,4,2,1,36,3,1,1,2,1,1,0,1,0,1,0,0,0,1,1
1,4,0,17,3,3,3,1,4,34,3,2,2,1,1,0,0,1,0,0,1,0,1,1,1
4,23,4,31,3,4,3,4,3,35,3,2,1,1,1,1,0,1,0,0,1,0,1,1,0
1,21,3,22,1,4,3,4,1,28,3,2,1,1,1,0,0,0,0,1,0,0,0,1,1
1,37,3,18,2,4,4,1,1,75,3,2,1,2,1,1,0,1,0,0,1,0,1,1,0
1,4,4,63,5,5,3,4,4,55,3,1,1,1,1,1,0,1,1,0,1,0,0,1,1
1,7,2,110,5,3,2,4,4,33,3,1,1,1,1,1,0,1,0,1,0,0,0,0,1
1,4,0,151,1,5,3,2,1,43,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1
1,21,2,129,1,1,1,2,3,44,3,1,1,1,1,0,0,1,0,0,1,0,1,1,0
1,10,4,31,5,3,4,4,3,37,3,1,1,1,1,0,0,1,0,1,1,0,0,0,1
1,7,4,90,5,3,3,4,2,36,3,2,1,1,1,0,0,1,0,1,1,0,0,0,0
1,4,2,39,1,3,1,3,3,33,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2,4,2,45,3,2,4,3,3,49,2,1,1,1,1,1,0,1,0,0,1,0,0,1,0
1,13,2,25,1,2,3,2,2,42,3,3,1,1,1,0,0,1,0,0,0,0,0,1,0
1,4,2,27,3,1,2,1,3,47,3,2,1,1,1,0,0,1,0,0,1,0,0,0,1
3,20,2,60,1,3,4,3,1,75,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1
1,4,2,23,3,4,3,3,1,25,3,3,1,1,1,0,0,1,0,1,0,0,0,1,1
4,21,2,109,5,3,4,4,2,29,3,2,2,1,1,0,0,1,0,1,1,0,1,0,0
4,8,2,33,2,2,2,2,1,75,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
1,4,3,33,1,3,2,4,3,36,3,1,1,2,1,0,0,0,0,1,1,0,1,0,0
4,16,2,83,2,5,3,2,4,49,3,1,1,2,1,1,0,0,0,1,0,0,0,0,1
4,19,4,20,1,5,1,4,4,36,3,2,2,2,1,1,0,1,0,0,1,0,0,0,1
2,29,2,19,1,4,1,2,1,38,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0
1,12,2,20,1,3,3,4,4,48,1,1,1,1,2,1,0,1,1,1,0,0,0,0,1
3,22,2,33,5,4,3,2,1,37,3,2,1,1,2,0,0,0,0,0,0,0,0,1,1
1,4,4,159,3,4,4,1,3,48,3,1,1,1,1,1,0,1,0,0,1,0,0,1,0
2,29,3,55,1,3,4,4,1,35,1,2,1,2,1,1,0,1,0,0,0,0,0,1,1
4,4,2,30,1,3,4,2,2,75,1,2,1,2,1,1,0,1,0,1,1,0,0,1,0
2,4,2,30,4,4,3,4,4,35,3,4,1,2,1,1,0,1,0,0,1,0,0,1,1
1,4,4,78,1,5,2,1,4,33,1,1,1,2,1,0,0,1,0,1,1,0,0,1,0
4,4,3,81,1,5,3,3,3,33,1,2,1,2,1,0,0,1,0,1,1,0,0,0,0
3,4,1,25,1,3,2,3,2,36,3,1,1,1,1,1,0,1,0,0,1,1,1,1,0
1,8,4,33,1,3,3,4,2,75,3,1,1,2,1,1,0,1,0,0,1,0,0,1,0
4,11,2,28,1,3,3,2,3,37,3,2,1,2,1,0,0,1,0,0,1,0,1,0,0
3,4,4,34,5,3,4,3,3,60,3,1,2,1,1,0,0,1,0,1,1,0,0,0,1
4,21,2,10,5,5,3,2,2,34,3,1,1,1,1,0,0,1,1,0,1,0,0,1,0
1,20,2,33,1,3,3,1,1,34,3,1,1,2,1,1,0,1,0,0,0,0,0,0,0
1,6,0,28,5,3,2,4,3,43,1,1,1,2,1,0,0,0,1,0,0,0,0,1,0
4,17,2,63,1,1,2,2,3,34,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0
3,26,4,24,1,2,2,4,3,63,3,2,1,1,1,0,0,1,0,1,0,0,0,1,1
2,4,2,111,1,5,3,4,3,33,3,1,1,1,1,0,0,0,0,0,1,0,0,1,1
1,44,2,27,1,3,4,1,4,31,1,2,1,1,1,1,0,1,0,0,1,0,0,1,0
4,4,4,136,4,4,3,4,3,30,3,2,1,2,1,1,0,1,0,0,1,0,0,1,0
4,23,2,119,3,2,3,2,1,37,3,1,1,1,1,1,1,1,0,0,1,0,1,0,1
2,4,4,136,2,5,3,1,1,47,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
1,4,2,113,1,5,4,2,2,54,3,1,1,2,1,0,0,1,0,1,1,0,0,1,1
1,4,2,92,1,2,4,2,1,75,3,1,1,1,1,0,1,0,0,1,1,0,0,1,1
1,4,2,41,2,5,3,3,3,36,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
4,5,2,33,5,5,1,4,3,75,3,2,2,1,1,0,0,1,0,0,1,0,0,1,0
4,4,4,118,4,3,3,4,3,61,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1
1,4,0,108,1,3,3,4,3,45,3,1,1,1,1,1,0,1,1,0,1,0,0,1,1
1,4,4,39,5,5,2,2,1,31,2,2,1,2,1,1,0,0,0,0,0,0,0,1,0
4,23,2,102,1,3,3,2,3,75,2,3,1,1,1,0,0,1,0,0,1,0,0,1,1
2,13,2,27,4,4,3,4,4,19,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0
1,4,2,115,1,3,2,2,2,44,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0
1,7,4,31,1,3,3,4,1,75,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
3,7,1,108,1,2,3,1,2,32,3,2,1,2,2,0,0,1,0,0,0,0,1,1,0
2,11,1,40,1,4,1,4,3,30,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1
1,4,0,108,1,1,3,1,3,33,3,1,1,1,2,0,0,1,0,1,1,0,1,1,0
4,4,3,26,1,1,3,4,1,75,1,3,1,1,1,1,0,1,0,0,1,0,0,0,1
1,4,4,41,1,2,3,4,3,49,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
1,32,4,17,1,3,2,1,4,36,3,1,1,1,1,0,0,1,0,0,0,0,1,1,0
2,5,2,56,1,5,4,4,4,36,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
1,4,2,17,1,4,2,1,3,32,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1
1,4,1,54,2,5,3,2,3,36,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
2,8,2,59,1,2,3,4,2,35,3,2,1,1,1,0,0,1,0,1,1,0,1,1,0
1,26,4,24,1,3,3,2,3,29,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0
4,8,2,27,1,3,2,3,2,61,3,1,1,1,1,0,0,1,0,1,1,0,0,0,0
2,5,1,26,4,1,3,2,1,36,2,1,1,1,1,1,0,1,0,1,1,1,0,0,1
1,4,2,33,1,5,2,1,3,38,3,2,1,1,2,0,0,1,0,0,1,0,0,0,0
1,20,2,28,5,3,3,3,3,44,3,1,1,2,1,0,0,0,0,0,1,0,0,1,0
2,7,0,35,2,3,1,4,1,32,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0
1,19,3,126,1,2,3,3,3,39,3,1,1,1,1,1,0,1,1,0,1,0,0,1,0
2,6,3,27,5,5,3,2,1,36,3,1,1,1,1,0,0,1,0,1,1,0,0,1,0
1,21,1,21,1,2,3,2,3,57,1,2,1,1,1,0,0,1,0,0,1,0,1,1,1
4,4,2,63,1,3,2,4,1,30,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0
4,32,2,27,2,3,4,2,2,57,3,1,1,2,1,1,0,1,0,0,1,0,0,1,0
2,4,4,15,1,3,2,4,3,75,3,1,2,1,1,1,0,1,0,0,0,0,0,0,0
1,4,1,59,1,5,1,3,3,30,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1
1,4,1,126,1,3,2,2,4,75,3,4,1,1,2,0,0,1,1,0,0,0,0,0,0
1,6,2,99,4,1,3,2,1,35,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1
4,4,4,33,1,3,3,1,4,61,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
1,20,4,26,1,3,4,3,1,26,3,1,1,1,1,0,0,0,0,0,1,0,0,1,0
1,4,2,35,1,3,2,4,3,75,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1
4,12,2,76,1,5,1,2,4,64,3,2,1,2,1,1,0,1,0,0,0,0,1,1,0
1,20,2,129,1,1,3,4,1,59,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
1,21,2,159,1,5,1,1,1,75,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
1,10,2,51,4,3,3,4,3,37,3,1,1,1,1,1,0,1,0,1,1,0,0,1,0
2,30,2,117,5,4,3,2,1,36,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
4,20,2,159,1,5,4,2,3,34,3,1,1,2,1,0,0,0,0,1,1,0,0,1,0
1,6,4,50,2,3,3,2,3,35,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0
2,4,2,159,5,4,3,2,3,33,3,1,1,1,1,1,0,1,0,0,0,0,0,1,1
4,13,2,26,1,3,2,2,3,51,3,2,2,2,1,0,1,1,0,0,1,0,0,0,0
1,6,4,77,3,4,3,4,1,33,3,1,1,2,1,0,1,1,0,0,0,0,0,1,1
4,21,3,28,5,3,2,2,3,35,3,1,1,2,1,0,0,1,1,0,1,0,1,1,0
1,7,2,114,1,5,2,1,4,46,2,1,2,1,1,0,0,1,0,0,1,0,0,0,1
1,5,4,22,4,5,2,4,3,29,3,3,1,1,1,0,0,1,0,1,0,0,0,0,0
1,4,2,25,1,3,3,4,1,30,3,1,2,2,1,0,0,1,0,1,1,0,0,1,0
3,13,4,59,2,5,2,4,1,60,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0
1,22,4,21,1,5,4,3,4,37,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0
2,4,2,35,3,5,1,2,2,34,3,1,1,1,1,0,1,1,0,0,0,0,0,1,1
4,5,4,29,1,4,1,3,3,37,3,1,1,1,1,0,0,1,0,1,0,0,0,0,1
4,4,4,159,5,3,2,4,1,31,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
3,4,2,123,3,2,3,4,4,74,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0
1,19,2,32,1,2,3,2,1,36,3,3,1,1,1,0,0,1,0,0,1,0,0,0,1
2,4,2,26,1,3,2,4,4,75,3,1,1,1,2,0,0,1,0,0,1,0,0,1,1
2,4,2,29,1,4,3,2,3,32,3,1,1,1,1,1,1,1,0,0,1,0,0,0,1
4,19,2,108,5,3,3,2,1,47,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
1,4,2,28,1,4,4,3,3,43,3,1,1,1,1,1,0,1,0,1,1,0,0,1,0
2,4,2,17,1,4,2,4,3,28,3,1,1,1,1,1,0,1,0,0,1,0,1,0,0
1,22,2,29,1,2,3,2,1,29,3,2,1,1,1,0,0,1,0,1,0,0,0,0,0
1,18,2,54,2,3,2,2,1,32,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1
3,7,4,30,3,3,3,4,3,35,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
4,4,2,18,1,4,3,2,3,31,3,1,1,1,1,1,0,1,1,0,1,0,1,1,1
1,22,2,119,2,3,3,2,3,75,3,1,2,2,1,0,0,1,1,1,0,1,0,0,1
1,5,4,146,1,5,4,1,3,36,3,2,1,1,1,0,0,0,0,1,1,0,0,1,1
1,24,4,60,3,2,3,2,1,34,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0
1,4,1,21,2,3,3,2,1,32,3,2,1,1,1,1,0,1,1,0,0,0,1,1,1
2,4,4,16,4,3,3,4,3,36,3,1,1,1,2,0,0,1,0,1,1,0,0,1,1
4,4,4,159,4,3,4,3,2,36,1,1,2,1,1,1,0,1,0,0,1,0,0,1,0
1,17,2,24,1,4,3,2,1,38,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0
4,11,2,55,2,3,1,4,3,50,3,1,1,2,1,1,0,1,0,0,1,0,0,1,0
2,4,2,101,1,2,2,4,3,29,3,2,2,1,1,1,0,1,0,0,0,0,1,1,0
2,23,4,27,2,5,2,2,3,39,3,2,1,2,1,0,0,0,0,0,1,0,0,0,0
4,6,4,29,1,3,3,4,3,51,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
2,10,2,23,2,3,3,4,4,53,3,1,1,1,2,0,0,0,0,0,1,0,0,0,1
1,20,2,116,2,3,3,2,3,34,3,1,2,1,1,0,1,1,0,0,1,0,1,0,0
4,4,1,23,5,3,4,4,3,38,3,1,2,1,1,0,0,1,0,0,1,0,0,1,0
2,23,2,113,1,3,2,3,4,46,3,1,1,1,1,0,1,1,0,0,0,0,0,0,0
4,4,4,118,1,5,1,2,3,46,3,1,1,1,1,0,0,1,0,1,1,0,1,0,0
2,20,2,30,3,4,3,3,3,64,3,1,1,2,1,1,0,1,0,1,0,0,0,0,1
1,20,2,115,1,3,1,2,1,45,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,5,2,113,1,4,3,1,3,74,3,2,1,1,1,1,0,1,0,0,1,0,0,1,0
1,4,4,93,1,4,2,1,1,34,3,1,1,1,1,1,0,1,0,0,1,0,0,1,0
2,4,2,33,1,4,2,4,1,63,1,1,1,2,1,0,0,1,0,0,1,0,0,1,0
2,5,2,121,5,2,2,3,4,36,3,2,2,1,1,0,1,1,0,0,1,0,0,1,0
2,30,2,26,1,3,3,2,4,35,3,1,1,1,2,0,0,1,1,0,1,0,1,1,0
4,4,2,33,1,4,4,2,3,35,3,2,1,1,1,1,0,1,0,0,1,0,0,1,1
4,20,2,104,1,5,3,1,2,33,1,1,2,1,2,0,0,1,0,1,0,0,0,1,0
4,20,2,159,1,2,3,3,4,65,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1
1,6,2,24,4,3,3,3,1,34,3,1,1,1,1,0,0,1,0,1,1,0,0,1,1
4,31,2,35,1,3,3,4,2,49,1,1,1,2,1,0,0,1,0,1,1,0,1,0,0
4,4,4,29,1,5,2,4,4,37,3,3,1,1,1,0,0,1,0,1,0,0,1,0,0
2,4,2,11,5,5,3,4,3,31,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1
4,20,3,32,1,5,3,1,4,65,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0
2,12,2,59,1,4,2,4,4,46,3,2,1,1,1,0,0,1,0,1,1,0,0,1,0
4,20,2,72,1,5,4,1,3,24,3,3,1,1,2,0,0,1,0,0,0,0,0,1,0
1,4,2,80,1,5,4,3,3,65,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0
4,4,4,26,1,5,3,4,2,62,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0
4,4,2,30,3,2,3,3,3,32,3,2,2,1,1,0,0,1,0,0,1,1,0,1,1
3,4,3,55,1,2,4,4,1,75,3,1,1,2,1,0,0,0,0,1,1,0,1,0,0
1,20,2,110,5,3,3,3,3,34,3,1,1,1,1,0,1,1,0,0,0,0,0,1,0
1,4,2,20,2,2,3,2,3,34,3,2,1,1,1,0,1,1,0,0,1,0,0,0,0
1,20,2,28,1,5,3,4,3,55,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0
1,12,4,9,1,3,2,2,1,36,3,1,2,1,1,1,0,1,0,0,1,0,0,1,0
1,6,2,29,2,5,2,2,1,33,3,1,1,1,1,0,0,1,0,1,0,0,1,1,0
4,4,4,95,1,3,1,3,2,35,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0
2,21,2,63,1,5,3,4,1,32,3,1,1,1,1,1,0,1,0,0,0,0,0,1,0
4,5,4,62,1,4,1,4,1,62,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1
4,6,2,107,2,3,3,4,3,24,3,1,2,1,1,0,0,1,0,1,1,0,0,1,0
4,4,2,57,1,3,3,4,1,59,3,2,2,1,1,0,0,1,0,0,1,0,0,1,0
1,27,4,143,5,2,2,3,1,30,2,1,1,1,1,0,0,0,0,1,0,0,0,1,0
4,4,2,29,2,4,2,2,3,28,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
2,22,0,78,2,4,3,2,3,34,3,2,1,1,1,0,0,1,0,1,1,0,0,1,1
2,4,4,85,5,5,3,4,2,35,3,3,1,1,2,0,0,1,0,0,1,0,0,0,0
2,10,4,72,1,2,4,3,1,36,3,2,1,1,2,0,0,1,0,0,1,0,0,0,1
2,4,4,32,1,5,2,4,3,49,3,1,1,1,1,1,0,1,0,0,1,0,1,1,0
4,4,2,33,1,5,3,4,2,50,3,1,1,1,1,0,0,1,0,1,0,0,1,0,0
2,21,1,124,2,1,4,4,2,35,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
